사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20220101,3호선,수서,7370,7076,20220104
20220101,3호선,학여울,461,473,20220104
20220101,3호선,대청,3224,2903,20220104
20220101,3호선,일원,3321,2803,20220104
20220101,경원선,창동,1,0,20220104
20220101,1호선,신설동,4939,4733,20220104
20220101,1호선,동대문,6486,6390,20220104
20220101,1호선,종로5가,7975,7922,20220104
20220101,1호선,서울역,18398,16926,20220104
20220101,1호선,동묘앞,7240,7366,20220104
20220101,1호선,시청,5604,5006,20220104
20220101,1호선,종각,9977,8864,20220104
20220101,1호선,종로3가,11017,9630,20220104
20220101,2호선,구로디지털단지,18363,18352,20220104
20220101,2호선,신대방,11652,11727,20220104
20220101,2호선,신림,29564,29162,20220104
20220101,2호선,봉천,9207,8941,20220104
20220101,2호선,서울대입구,20142,20315,20220104
20220101,2호선,낙성대,11148,10973,20220104
20220101,2호선,사당,15292,16173,20220104
20220101,2호선,방배,4297,4484,20220104
20220101,2호선,서초,4010,3348,20220104
20220101,2호선,교대,6678,7333,20220104
20220101,2호선,강남,26200,24977,20220104
20220101,2호선,역삼,8239,8524,20220104
20220101,2호선,선릉,9197,7746,20220104
20220101,2호선,삼성,15003,13937,20220104
20220101,2호선,종합운동장,3428,3504,20220104
20220101,2호선,잠실새내,8404,8750,20220104
20220101,2호선,잠실,35454,33619,20220104
20220101,2호선,잠실나루,3594,3660,20220104
20220101,2호선,강변,14225,13711,20220104
20220101,2호선,구의,8872,8862,20220104
20220101,2호선,건대입구,21954,23039,20220104
20220101,2호선,성수,9220,10042,20220104
20220101,2호선,뚝섬,6067,5964,20220104
20220101,2호선,한양대,1359,1517,20220104
20220101,2호선,왕십리,6953,6214,20220104
20220101,2호선,상왕십리,5212,5043,20220104
20220101,2호선,신당,6015,6529,20220104
20220101,2호선,동대문역사문화공원,5620,6213,20220104
20220101,2호선,을지로4가,2568,2350,20220104
20220101,2호선,을지로3가,5883,5290,20220104
20220101,2호선,을지로입구,10825,9485,20220104
20220101,2호선,시청,4137,2961,20220104
20220101,1호선,청량리,9400,9553,20220104
20220101,1호선,제기동,7244,7259,20220104
20220101,2호선,이대,4692,4938,20220104
20220101,경의선,일산,3367,3452,20220104
20220101,경의선,탄현,3023,3009,20220104
20220101,분당선,복정,1,0,20220104
20220101,2호선,신촌,15120,14485,20220104
20220101,2호선,홍대입구,38842,38438,20220104
20220101,2호선,합정,13993,14840,20220104
20220101,2호선,당산,6288,7044,20220104
20220101,2호선,영등포구청,5631,5554,20220104
20220101,2호선,문래,5480,5672,20220104
20220101,2호선,신도림,18150,18655,20220104
20220101,2호선,대림,10717,11703,20220104
20220101,중앙선,지평,24,40,20220104
20220101,중앙선,용문,1171,1224,20220104
20220101,중앙선,원덕,171,190,20220104
20220101,중앙선,양평,1432,1481,20220104
20220101,중앙선,오빈,144,142,20220104
20220101,중앙선,아신,278,314,20220104
20220101,중앙선,국수,337,378,20220104
20220101,중앙선,신원,110,108,20220104
20220101,중앙선,양수,1149,1169,20220104
20220101,중앙선,운길산,689,667,20220104
20220101,중앙선,팔당,838,820,20220104
20220101,중앙선,도심,868,795,20220104
20220101,중앙선,덕소,2626,2727,20220104
20220101,중앙선,양정,277,203,20220104
20220101,중앙선,도농,3751,3812,20220104
20220101,중앙선,구리,5372,5743,20220104
20220101,중앙선,양원,655,680,20220104
20220101,중앙선,망우,3549,3588,20220104
20220101,중앙선,상봉,2911,2736,20220104
20220101,중앙선,중랑,2451,2381,20220104
20220101,중앙선,회기,10723,10388,20220104
