사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,9호선,노들,1719,1527,3246
20210102,우이신설선,삼양사거리,1112,1102,2214
20210102,우이신설선,삼양,917,1019,1936
20210102,우이신설선,화계,1470,1315,2785
20210102,우이신설선,가오리,1653,1625,3278
20210102,우이신설선,4.19민주묘지,1299,1122,2421
20210102,우이신설선,솔밭공원,1039,1024,2063
20210102,우이신설선,북한산우이,2003,1969,3972
20210102,안산선,수리산,1670,1570,3240
20210102,중앙선,중랑,2505,2473,4978
20210102,중앙선,회기,9073,9143,18216
20210102,장항선,신창,425,447,872
20210102,장항선,온양온천,2035,2011,4046
20210102,장항선,배방,408,407,815
20210102,장항선,아산,1344,1102,2446
20210102,장항선,쌍용,773,703,1476
20210102,장항선,봉명,411,375,786
20210102,일산선,대화,4616,4245,8861
20210102,일산선,주엽,3317,3324,6641
20210102,일산선,정발산,3419,3487,6906
20210102,일산선,마두,2883,2841,5724
20210102,일산선,백석,4388,4521,8909
20210102,일산선,대곡,644,478,1122
20210102,일산선,화정,7146,7424,14570
20210102,일산선,원당,4470,4325,8795
20210102,일산선,삼송,7405,7365,14770
20210102,일산선,원흥,3623,3453,7076
20210102,우이신설선,신설동,854,844,1698
20210102,우이신설선,보문,671,706,1377
20210102,우이신설선,성신여대입구,1565,1789,3354
20210102,우이신설선,정릉,1976,1701,3677
20210102,우이신설선,북한산보국문,2442,2264,4706
20210102,우이신설선,솔샘,2031,1881,3912
20210102,경인선,인천,1879,1538,3417
20210102,경인선,동인천,6559,6479,13038
20210102,경인선,제물포,3870,3784,7654
20210102,중앙선,지평,20,20,40
20210102,중앙선,용문,963,922,1885
20210102,중앙선,원덕,152,108,260
20210102,중앙선,양평,1172,1117,2289
20210102,중앙선,오빈,124,117,241
20210102,중앙선,아신,249,236,485
20210102,중앙선,국수,339,374,713
20210102,중앙선,신원,154,137,291
20210102,중앙선,양수,918,894,1812
20210102,중앙선,운길산,628,577,1205
20210102,중앙선,팔당,807,828,1635
20210102,중앙선,도심,877,785,1662
20210102,중앙선,덕소,2374,2411,4785
20210102,중앙선,양정,290,245,535
20210102,중앙선,도농,3341,3191,6532
20210102,중앙선,구리,5370,5621,10991
20210102,중앙선,양원,555,550,1105
20210102,중앙선,망우,3348,3418,6766
20210102,중앙선,상봉,2789,2620,5409
20210102,안산선,오이도,4031,4040,8071
20210102,안산선,정왕,3168,3394,6562
20210102,안산선,신길온천,719,710,1429
20210102,안산선,안산,6299,6274,12573
20210102,안산선,초지,1548,1589,3137
20210102,안산선,고잔,2905,2686,5591
20210102,안산선,중앙,7328,7575,14903
20210102,안산선,한대앞,3554,3474,7028
20210102,안산선,상록수,6973,6779,13752
20210102,안산선,반월,1901,1811,3712
20210102,안산선,대야미,2139,1896,4035
20210102,안산선,산본,6411,6840,13251
20210102,수인선,인천,634,986,1620
20210102,수인선,신포,797,823,1620
20210102,수인선,숭의,1542,1442,2984
20210102,수인선,인하대,2208,2125,4333
20210102,수인선,송도,1187,1125,2312
20210102,수인선,연수,2123,2095,4218
20210102,수인선,원인재,2108,2232,4340
20210102,수인선,남동인더스파크,507,508,1015
20210102,수인선,호구포,1277,1341,2618
20210102,수인선,인천논현,2535,2554,5089
20210102,수인선,소래포구,2892,2907,5799
20210102,수인선,월곶,1194,1130,2324
20210102,수인선,달월,39,39,78
20210102,수인선,사리,1559,1353,2912
20210102,수인선,야목,80,82,162
20210102,수인선,어천,254,254,508
20210102,수인선,오목천,875,806,1681
20210102,수인선,고색,1078,1109,2187
20210102,분당선,매교,978,1008,1986
20210102,분당선,수원시청,5164,5641,10805
20210102,분당선,매탄권선,1732,1726,3458
20210102,분당선,망포,4315,4211,8526
20210102,분당선,영통,3215,3246,6461
20210102,분당선,청명,1336,1300,2636
20210102,분당선,상갈,2044,2044,4088
20210102,분당선,기흥,3519,3313,6832
20210102,분당선,신갈,1379,1417,2796
20210102,분당선,구성,1684,1720,3404
20210102,분당선,죽전,5628,6418,12046
20210102,분당선,보정,787,752,1539
20210102,분당선,이매,1869,1869,3738
20210102,분당선,오리,4351,3739,8090
20210102,분당선,미금,6304,6358,12662
20210102,분당선,정자,5544,5690,11234
20210102,분당선,수내,4893,4807,9700
20210102,분당선,서현,10585,10503,21088
20210102,분당선,야탑,9169,9617,18786
20210102,분당선,모란,9165,9408,18573
20210102,분당선,태평,6241,6236,12477
20210102,분당선,가천대,2402,2867,5269
20210102,분당선,선정릉,1559,1619,3178
20210102,분당선,강남구청,2394,2759,5153
20210102,분당선,압구정로데오,8455,8885,17340
20210102,분당선,서울숲,2422,2457,4879
20210102,분당선,수원,4042,3301,7343
20210102,분당선,수서,4770,4354,9124
20210102,분당선,대모산입구,1120,1041,2161
20210102,분당선,개포동,1181,1203,2384
20210102,분당선,구룡,470,434,904
20210102,분당선,도곡,2193,2136,4329
20210102,분당선,한티,5624,5672,11296
20210102,분당선,선릉,2467,3453,5920
20210102,과천선,범계,10408,9875,20283
20210102,과천선,평촌,4615,4557,9172
20210102,과천선,인덕원,7595,7536,15131
20210102,과천선,정부과천청사,2590,2651,5241
20210102,과천선,과천,1995,1789,3784
20210102,과천선,대공원,1691,1777,3468
20210102,과천선,경마공원,598,594,1192
20210102,과천선,선바위,2460,2269,4729
20210102,공항철도 1호선,영종,1351,1383,2734
20210102,공항철도 1호선,인천공항2터미널,1362,1267,2629
20210102,공항철도 1호선,인천공항1터미널,2500,2491,4991
20210102,공항철도 1호선,공항화물청사,1000,1059,2059
20210102,공항철도 1호선,운서,3250,3399,6649
20210102,공항철도 1호선,청라국제도시,1850,1693,3543
20210102,공항철도 1호선,검암,2453,2469,4922
20210102,공항철도 1호선,계양,3031,3034,6065
20210102,공항철도 1호선,김포공항,5590,2573,8163
20210102,공항철도 1호선,마곡나루,1084,1149,2233
20210102,공항철도 1호선,디지털미디어시티,2435,2360,4795
20210102,공항철도 1호선,홍대입구,3907,3896,7803
20210102,공항철도 1호선,공덕,669,968,1637
20210102,공항철도 1호선,서울역,3039,2472,5511
20210102,경춘선,춘천,612,589,1201
20210102,경춘선,남춘천,1207,1300,2507
20210102,경춘선,김유정,158,160,318
20210102,경춘선,강촌,283,281,564
20210102,경춘선,백양리,44,77,121
20210102,경춘선,굴봉산,73,60,133
20210102,경춘선,가평,725,640,1365
20210102,경춘선,상천,208,176,384
20210102,경춘선,청평,719,691,1410
20210102,경춘선,대성리,282,226,508
20210102,경춘선,마석,1623,1606,3229
20210102,경춘선,천마산,753,717,1470
20210102,경춘선,평내호평,2305,2225,4530
20210102,경춘선,금곡,586,540,1126
20210102,경춘선,사릉,1261,1277,2538
20210102,경춘선,퇴계원,1445,1351,2796
20210102,경춘선,별내,1066,1034,2100
20210102,경춘선,갈매,1089,981,2070
20210102,경춘선,신내,496,503,999
20210102,경인선,도화,1807,1638,3445
20210102,경인선,중동,3629,3505,7134
20210102,경인선,온수,2639,2513,5152
20210102,경인선,도원,1205,1281,2486
20210102,경인선,간석,2425,2241,4666
20210102,경인선,부개,3487,3347,6834
20210102,경인선,주안,8530,7736,16266
20210102,경인선,동암,7320,7422,14742
20210102,경인선,백운,3149,3086,6235
20210102,경인선,부평,16218,17379,33597
20210102,경인선,송내,9715,9377,19092
20210102,경인선,부천,16718,16978,33696
20210102,경인선,역곡,10963,11069,22032
20210102,경인선,오류동,5052,4797,9849
20210102,경인선,개봉,8901,8849,17750
20210102,경의선,임진강,19,19,38
20210102,경의선,문산,2261,2272,4533
20210102,경의선,파주,399,312,711
20210102,경의선,월롱,539,577,1116
20210102,경의선,금촌,2766,2843,5609
20210102,경의선,금릉,1825,1756,3581
20210102,경의선,운정,2095,2049,4144
20210102,경의선,야당,2450,2321,4771
20210102,경의선,탄현,2721,2646,5367
20210102,경의선,일산,2999,2925,5924
20210102,경의선,풍산,2121,2013,4134
20210102,경의선,백마,2035,1927,3962
20210102,경의선,곡산,200,203,403
20210102,경의선,능곡,1423,1400,2823
20210102,경의선,행신,2479,2467,4946
20210102,경의선,강매,997,898,1895
20210102,경의선,화전,449,454,903
20210102,경의선,수색,642,673,1315
