사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,일산선,대곡,721,534,1255
202201,일산선,대화,4677,4190,8867
202201,일산선,마두,2568,2642,5210
202201,일산선,백석,4287,4281,8568
202201,일산선,삼송,8752,8588,17340
202201,일산선,원당,4609,4594,9203
202201,일산선,원흥,3952,3997,7949
202201,일산선,정발산,3824,3861,7685
202201,일산선,주엽,3259,3354,6613
202201,일산선,화정,7575,7999,15574
202201,일산선,대곡,795,635,1430
202201,일산선,대화,5218,4771,9989
202201,일산선,마두,2848,2806,5654
202201,일산선,백석,4966,4906,9872
202201,일산선,삼송,9297,9094,18391
202201,일산선,원당,5141,5017,10158
202201,일산선,원흥,4529,4442,8971
202201,일산선,정발산,4426,4484,8910
202201,일산선,주엽,3930,3869,7799
202201,일산선,지축,1,0,1
202201,일산선,화정,8254,8554,16808
202201,일산선,대곡,1198,960,2158
202201,일산선,대화,7591,6872,14463
202201,일산선,마두,4498,4599,9097
202201,일산선,백석,6733,7002,13735
202201,일산선,삼송,13159,12933,26092
202201,일산선,원당,7613,7297,14910
202201,일산선,원흥,6756,6531,13287
202201,일산선,정발산,6036,6216,12252
202201,일산선,주엽,5961,5992,11953
202201,일산선,지축,1,0,1
202201,일산선,화정,11599,11982,23581
202201,일산선,대곡,899,761,1660
202201,일산선,대화,5430,5060,10490
202201,일산선,마두,3034,3023,6057
202201,일산선,백석,5039,5080,10119
202201,일산선,삼송,9767,9543,19310
202201,일산선,원당,5535,5368,10903
202201,일산선,원흥,4899,4751,9650
202201,일산선,정발산,5070,4876,9946
202201,일산선,주엽,4029,4070,8099
202201,일산선,화정,8568,8824,17392
202201,일산선,대곡,1155,947,2102
202201,일산선,대화,7759,6991,14750
202201,일산선,마두,4438,4515,8953
202201,일산선,백석,7082,7003,14085
202201,일산선,삼송,13348,13061,26409
202201,일산선,원당,7757,7473,15230
202201,일산선,원흥,6746,6483,13229
202201,일산선,정발산,6088,6156,12244
202201,일산선,주엽,5965,6058,12023
202201,일산선,화정,12089,12437,24526
202201,일산선,대곡,915,763,1678
202201,일산선,대화,5592,5224,10816
202201,일산선,마두,3082,3091,6173
202201,일산선,백석,4995,5025,10020
202201,일산선,삼송,10160,9929,20089
202201,일산선,원당,5446,5350,10796
202201,일산선,원흥,4779,4637,9416
202201,일산선,정발산,4826,4763,9589
202201,일산선,주엽,3986,4087,8073
202201,일산선,지축,1,0,1
202201,일산선,화정,8644,8993,17637
202201,일산선,대곡,1186,1000,2186
202201,일산선,대화,7992,7257,15249
202201,일산선,마두,4731,4802,9533
202201,일산선,백석,7178,7245,14423
202201,일산선,삼송,13731,13439,27170
202201,일산선,원당,7767,7528,15295
202201,일산선,원흥,6945,6640,13585
202201,일산선,정발산,6057,6242,12299
202201,일산선,주엽,6108,6104,12212
202201,일산선,지축,1,0,1
202201,일산선,화정,12128,12563,24691
202201,일산선,대곡,945,772,1717
202201,일산선,대화,5678,5338,11016
202201,일산선,마두,3103,3234,6337
202201,일산선,백석,5167,5097,10264
202201,일산선,삼송,10861,10648,21509
202201,일산선,원당,5568,5491,11059
202201,일산선,원흥,4966,4735,9701
202201,일산선,정발산,5077,4836,9913
202201,일산선,주엽,4195,4120,8315
202201,일산선,화정,8816,9147,17963
202201,일산선,대곡,884,823,1707
202201,일산선,대화,6760,6212,12972
202201,일산선,마두,4070,4123,8193
202201,일산선,백석,6225,6380,12605
202201,일산선,삼송,11875,11468,23343
202201,일산선,원당,6764,6620,13384
202201,일산선,원흥,5970,5560,11530
202201,일산선,정발산,5359,5296,10655
202201,일산선,주엽,5289,5273,10562
202201,일산선,화정,10748,10953,21701
202201,일산선,대곡,702,633,1335
202201,일산선,대화,5024,4635,9659
202201,일산선,마두,2800,2815,5615
202201,일산선,백석,4644,4676,9320
202201,일산선,삼송,9291,9131,18422
202201,일산선,원당,5100,5025,10125
202201,일산선,원흥,4586,4288,8874
202201,일산선,정발산,4300,4190,8490
202201,일산선,주엽,3577,3770,7347
202201,일산선,화정,7893,8039,15932
202202,일산선,대곡,936,828,1764
202202,일산선,대화,6733,6235,12968
202202,일산선,마두,4112,4164,8276
202202,일산선,백석,6131,6147,12278
202202,일산선,삼송,11858,11694,23552
202202,일산선,원당,6577,6392,12969
202202,일산선,원흥,6118,5922,12040
202202,일산선,정발산,5064,5206,10270
202202,일산선,주엽,5207,5184,10391
202202,일산선,화정,10883,11218,22101
202202,일산선,대곡,761,623,1384
202202,일산선,대화,4836,4463,9299
202202,일산선,마두,2734,2754,5488
202202,일산선,백석,4341,4329,8670
202202,일산선,삼송,9041,8930,17971
202202,일산선,원당,4886,4793,9679
202202,일산선,원흥,4341,4162,8503
202202,일산선,정발산,3978,3914,7892
202202,일산선,주엽,3526,3530,7056
202202,일산선,화정,7775,8044,15819
202202,일산선,대곡,1192,1018,2210
202202,일산선,대화,7447,6683,14130
202202,일산선,마두,4457,4538,8995
202202,일산선,백석,6604,6744,13348
202202,일산선,삼송,12773,12648,25421
202202,일산선,원당,7336,7187,14523
202202,일산선,원흥,6488,6069,12557
202202,일산선,정발산,5840,5880,11720
202202,일산선,주엽,5718,5848,11566
202202,일산선,지축,1,0,1
202202,일산선,화정,11481,11864,23345
202202,일산선,대곡,909,791,1700
202202,일산선,대화,5178,4732,9910
202202,일산선,마두,2973,2907,5880
202202,일산선,백석,4780,4768,9548
202202,일산선,삼송,9786,9620,19406
202202,일산선,원당,5380,5273,10653
202202,일산선,원흥,4686,4400,9086
202202,일산선,정발산,4807,4778,9585
202202,일산선,주엽,3943,3981,7924
202202,일산선,화정,8293,8582,16875
202202,일산선,대곡,1124,1019,2143
202202,일산선,대화,7082,6508,13590
202202,일산선,마두,4405,4513,8918
202202,일산선,백석,6659,6681,13340
202202,일산선,삼송,12349,12198,24547
202202,일산선,원당,7011,6688,13699
202202,일산선,원흥,6176,5918,12094
202202,일산선,정발산,5515,5754,11269
202202,일산선,주엽,5747,5740,11487
202202,일산선,화정,11177,11613,22790
202202,일산선,대곡,791,695,1486
202202,일산선,대화,5020,4635,9655
202202,일산선,마두,2702,2784,5486
202202,일산선,백석,4664,4606,9270
202202,일산선,삼송,9126,9035,18161
202202,일산선,원당,4982,4849,9831
202202,일산선,원흥,4250,4070,8320
202202,일산선,정발산,4427,4243,8670
202202,일산선,주엽,3630,3683,7313
202202,일산선,화정,7606,7973,15579
202202,일산선,대곡,1067,835,1902
202202,일산선,대화,6939,6568,13507
202202,일산선,마두,4175,4293,8468
202202,일산선,백석,6335,6344,12679
202202,일산선,삼송,11724,11644,23368
202202,일산선,원당,6707,6445,13152
202202,일산선,원흥,6087,5916,12003
202202,일산선,정발산,5903,6025,11928
202202,일산선,주엽,5474,5494,10968
202202,일산선,화정,10850,11356,22206
202202,일산선,대곡,913,787,1700
202202,일산선,대화,5687,4960,10647
202202,일산선,마두,2949,2988,5937
202202,일산선,백석,4705,4646,9351
202202,일산선,삼송,9577,9512,19089
202202,일산선,원당,5256,5044,10300
202202,일산선,원흥,4752,4607,9359
202202,일산선,정발산,4798,4884,9682
202202,일산선,주엽,4011,4006,8017
202202,일산선,화정,8249,8599,16848
202203,일산선,대곡,1092,939,2031
202203,일산선,대화,7795,7290,15085
202203,일산선,마두,4273,4356,8629
202203,일산선,백석,6524,6523,13047
202203,일산선,삼송,12184,11955,24139
202203,일산선,원당,7049,6654,13703
202203,일산선,원흥,6278,5945,12223
202203,일산선,정발산,5673,5882,11555
202203,일산선,주엽,5467,5499,10966
202203,일산선,지축,1,0,1
202203,일산선,화정,10977,11432,22409
202203,일산선,대곡,882,754,1636
202203,일산선,대화,5735,5386,11121
202203,일산선,마두,2891,2873,5764
202203,일산선,백석,4638,4648,9286
202203,일산선,삼송,9117,8840,17957
202203,일산선,원당,5205,5003,10208
202203,일산선,원흥,4496,4360,8856
202203,일산선,정발산,5939,5814,11753
202203,일산선,주엽,3925,3845,7770
202203,일산선,화정,7997,8148,16145
202203,일산선,대곡,1173,1033,2206
202203,일산선,대화,7951,7298,15249
202203,일산선,마두,4404,4458,8862
202203,일산선,백석,6388,6419,12807
202203,일산선,삼송,12440,12005,24445
202203,일산선,원당,7316,6985,14301
202203,일산선,원흥,6256,5966,12222
202203,일산선,정발산,6029,6308,12337
202203,일산선,주엽,5614,5668,11282
202203,일산선,화정,11209,11572,22781
202203,일산선,대곡,748,670,1418
202203,일산선,대화,5026,4678,9704
202203,일산선,마두,2587,2622,5209
202203,일산선,백석,4159,4078,8237
202203,일산선,삼송,8248,7986,16234
202203,일산선,원당,4589,4487,9076
202203,일산선,원흥,3938,3946,7884
202203,일산선,정발산,3991,3989,7980
202203,일산선,주엽,3388,3269,6657
202203,일산선,화정,7068,7161,14229
202203,일산선,대곡,943,845,1788
202203,일산선,대화,6848,6277,13125
202203,일산선,마두,3912,3912,7824
202203,일산선,백석,5776,5689,11465
202203,일산선,삼송,11338,10901,22239
202203,일산선,원당,6347,6005,12352
202203,일산선,원흥,5675,5517,11192
202203,일산선,정발산,5192,5399,10591
202203,일산선,주엽,4861,4907,9768
202203,일산선,화정,9664,10100,19764
202203,일산선,대곡,944,792,1736
202203,일산선,대화,5679,5186,10865
202203,일산선,마두,2892,2923,5815
202203,일산선,백석,4669,4541,9210
202203,일산선,삼송,9289,9101,18390
202203,일산선,원당,5286,5107,10393
202203,일산선,원흥,4430,4339,8769
202203,일산선,정발산,4606,4500,9106
202203,일산선,주엽,3711,3671,7382
202203,일산선,화정,8060,8331,16391
202203,일산선,대곡,1051,920,1971
202203,일산선,대화,6609,5943,12552
202203,일산선,마두,4136,4126,8262
202203,일산선,백석,6448,6421,12869
202203,일산선,삼송,11996,11645,23641
202203,일산선,원당,6882,6415,13297
202203,일산선,원흥,5937,5615,11552
202203,일산선,정발산,5528,5854,11382
202203,일산선,주엽,5292,5100,10392
202203,일산선,지축,1,0,1
202203,일산선,화정,10734,11148,21882
202203,일산선,대곡,996,882,1878
202203,일산선,대화,5424,4986,10410
202203,일산선,마두,3072,3081,6153
202203,일산선,백석,4955,4893,9848
202203,일산선,삼송,10015,9798,19813
202203,일산선,원당,5715,5461,11176
202203,일산선,원흥,4799,4825,9624
202203,일산선,정발산,5173,5127,10300
202203,일산선,주엽,4195,4132,8327
202203,일산선,화정,8594,8582,17176
202204,일산선,대곡,1421,1211,2632
202204,일산선,대화,8643,7806,16449
202204,일산선,마두,4776,4808,9584
202204,일산선,백석,6926,6811,13737
202204,일산선,삼송,13857,13352,27209
202204,일산선,원당,7925,7695,15620
202204,일산선,원흥,7076,6723,13799
202204,일산선,정발산,6466,6758,13224
202204,일산선,주엽,6272,6187,12459
202204,일산선,화정,12257,12521,24778
202204,일산선,대곡,1058,932,1990
202204,일산선,대화,5621,5077,10698
202204,일산선,마두,3144,3174,6318
202204,일산선,백석,5062,5080,10142
202204,일산선,삼송,10360,10133,20493
202204,일산선,원당,5981,5657,11638
202204,일산선,원흥,5215,5020,10235
202204,일산선,정발산,5337,5278,10615
202204,일산선,주엽,4437,4232,8669
202204,일산선,화정,8905,8929,17834
202204,일산선,대곡,1480,1224,2704
202204,일산선,대화,8463,7293,15756
202204,일산선,마두,5064,5098,10162
202204,일산선,백석,7268,7135,14403
202204,일산선,삼송,14524,13773,28297
202204,일산선,원당,8704,7925,16629
202204,일산선,원흥,7465,6849,14314
202204,일산선,정발산,7135,7563,14698
202204,일산선,주엽,6530,6328,12858
202204,일산선,화정,13002,13149,26151
202204,일산선,대곡,1255,1019,2274
202204,일산선,대화,6162,5548,11710
202204,일산선,마두,3535,3466,7001
202204,일산선,백석,5341,5316,10657
202204,일산선,삼송,11145,10872,22017
202204,일산선,원당,6507,6365,12872
202204,일산선,원흥,5777,5503,11280
202204,일산선,정발산,6522,6607,13129
202204,일산선,주엽,4639,4554,9193
202204,일산선,화정,9631,9799,19430
202204,일산선,대곡,1535,1319,2854
202204,일산선,대화,8442,7556,15998
202204,일산선,마두,5304,5127,10431
202204,일산선,백석,7258,7219,14477
202204,일산선,삼송,14643,13819,28462
202204,일산선,원당,8723,8239,16962
202204,일산선,원흥,7702,7468,15170
202204,일산선,정발산,7285,7751,15036
202204,일산선,주엽,6680,6549,13229
202204,일산선,화정,13091,13511,26602
202204,일산선,대곡,1161,975,2136
202204,일산선,대화,6089,5547,11636
202204,일산선,마두,3486,3457,6943
202204,일산선,백석,5393,5335,10728
202204,일산선,삼송,10842,10636,21478
202204,일산선,원당,6483,6182,12665
202204,일산선,원흥,5773,5526,11299
202204,일산선,정발산,5756,5753,11509
202204,일산선,주엽,4627,4518,9145
202204,일산선,화정,9577,9686,19263
202204,일산선,대곡,1586,1280,2866
202204,일산선,대화,9312,8256,17568
202204,일산선,마두,5455,5518,10973
202204,일산선,백석,7603,7525,15128
202204,일산선,삼송,15223,14247,29470
202204,일산선,원당,8853,8303,17156
202204,일산선,원흥,7943,7277,15220
202204,일산선,정발산,9715,10140,19855
202204,일산선,주엽,6681,6530,13211
202204,일산선,화정,13456,13733,27189
202204,일산선,대곡,1209,1054,2263
202204,일산선,대화,6653,6277,12930
